City,Beach,Date,Enterococcus
BERTIOGA,BORACÉIA - SUL,2018-09-09,4
BERTIOGA,BORACÉIA - SUL,2018-09-16,1
BERTIOGA,BORACÉIA - SUL,2018-09-23,1
BERTIOGA,BORACÉIA - SUL,2018-09-30,1
BERTIOGA,BORACÉIA - SUL,2018-10-07,8
BERTIOGA,BORACÉIA - SUL,2018-10-14,50
BERTIOGA,BORACÉIA - SUL,2018-10-21,3
BERTIOGA,BORACÉIA - SUL,2018-10-28,51
BERTIOGA,BORACÉIA - SUL,2018-11-04,11
BERTIOGA,BORACÉIA - SUL,2018-11-11,2
BERTIOGA,BORACÉIA - SUL,2018-11-18,89
BERTIOGA,BORACÉIA - SUL,2018-11-25,4
BERTIOGA,BORACÉIA - SUL,2018-12-02,6
BERTIOGA,BORACÉIA - SUL,2018-12-09,3
BERTIOGA,BORACÉIA - SUL,2018-12-16,4
BERTIOGA,BORACÉIA - SUL,2018-12-23,87
BERTIOGA,BORACÉIA - SUL,2018-12-30,2
BERTIOGA,GUARATUBA,2018-01-07,36
BERTIOGA,GUARATUBA,2018-01-14,5
BERTIOGA,GUARATUBA,2018-01-21,1
BERTIOGA,GUARATUBA,2018-01-28,62
BERTIOGA,GUARATUBA,2018-02-04,1
BERTIOGA,GUARATUBA,2018-02-11,70
BERTIOGA,GUARATUBA,2018-02-18,6
BERTIOGA,GUARATUBA,2018-02-25,1
BERTIOGA,GUARATUBA,2018-03-04,3
BERTIOGA,GUARATUBA,2018-03-11,2
BERTIOGA,GUARATUBA,2018-03-18,1
BERTIOGA,GUARATUBA,2018-03-25,1
BERTIOGA,GUARATUBA,2018-04-01,10
BERTIOGA,GUARATUBA,2018-04-08,1
BERTIOGA,GUARATUBA,2018-04-15,84
BERTIOGA,GUARATUBA,2018-04-22,3
BERTIOGA,GUARATUBA,2018-04-29,1
BERTIOGA,GUARATUBA,2018-05-06,4
BERTIOGA,GUARATUBA,2018-05-13,3
BERTIOGA,GUARATUBA,2018-05-20,1
BERTIOGA,GUARATUBA,2018-05-27,1
BERTIOGA,GUARATUBA,2018-06-03,32
BERTIOGA,GUARATUBA,2018-06-10,10
BERTIOGA,GUARATUBA,2018-06-17,39
BERTIOGA,GUARATUBA,2018-06-24,33
BERTIOGA,GUARATUBA,2018-07-01,1
BERTIOGA,GUARATUBA,2018-07-08,7
BERTIOGA,GUARATUBA,2018-07-15,1
BERTIOGA,GUARATUBA,2018-07-22,1
BERTIOGA,GUARATUBA,2018-07-29,3
BERTIOGA,GUARATUBA,2018-08-05,1
BERTIOGA,GUARATUBA,2018-08-12,15
BERTIOGA,GUARATUBA,2018-08-19,1
BERTIOGA,GUARATUBA,2018-08-26,112
BERTIOGA,GUARATUBA,2018-09-02,1
BERTIOGA,GUARATUBA,2018-09-09,2
BERTIOGA,GUARATUBA,2018-09-16,1
BERTIOGA,GUARATUBA,2018-09-23,1
BERTIOGA,GUARATUBA,2018-09-30,1
BERTIOGA,GUARATUBA,2018-10-07,27
BERTIOGA,GUARATUBA,2018-10-14,69
BERTIOGA,GUARATUBA,2018-10-21,2
BERTIOGA,GUARATUBA,2018-10-28,22
BERTIOGA,GUARATUBA,2018-11-04,10
BERTIOGA,GUARATUBA,2018-11-11,1
BERTIOGA,GUARATUBA,2018-11-18,26
BERTIOGA,GUARATUBA,2018-11-25,1
BERTIOGA,GUARATUBA,2018-12-02,1
BERTIOGA,GUARATUBA,2018-12-09,3
BERTIOGA,GUARATUBA,2018-12-16,1
BERTIOGA,GUARATUBA,2018-12-23,8
BERTIOGA,GUARATUBA,2018-12-30,7
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-01-07,30
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-01-14,11
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-01-21,2
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-01-28,112
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-02-04,49
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-02-11,62
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-02-18,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-02-25,3
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-03-04,10
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-03-11,7
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-03-18,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-03-25,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-04-01,6
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-04-08,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-04-15,67
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-04-22,4
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-04-29,8
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-05-06,2
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-05-13,2
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-05-20,12
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-05-27,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-06-03,9
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-06-10,4
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-06-17,47
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-06-24,2
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-07-01,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-07-08,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-07-15,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-07-22,7
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-07-29,12
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-08-05,2
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-08-12,14
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-08-19,3
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-08-26,107
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-09-02,13
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-09-09,3
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-09-16,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-09-23,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-09-30,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-10-07,16
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-10-14,91
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-10-21,5
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-10-28,10
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-11-04,54
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-11-11,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-11-18,31
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-11-25,5
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-12-02,2
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-12-09,79
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-12-16,1
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-12-23,6
BERTIOGA,SÃO LOURENÇO (JUNTO AO MORRO),2018-12-30,15
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-01-07,92
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-01-14,10
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-01-21,9
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-01-28,106
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-02-04,3
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-02-11,55
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-02-18,11
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-02-25,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-03-04,22
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-03-11,9
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-03-18,2
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-03-25,2
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-04-01,7
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-04-08,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-04-15,77
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-04-22,89
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-04-29,5
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-05-06,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-05-13,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-05-20,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-05-27,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-06-03,4
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-06-10,3
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-06-17,51
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-06-24,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-07-01,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-07-08,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-07-15,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-07-22,7
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-07-29,2
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-08-05,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-08-12,7
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-08-19,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-08-26,111
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-09-02,13
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-09-09,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-09-16,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-09-23,10
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-09-30,2
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-10-07,19
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-10-14,80
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-10-21,7
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-10-28,6
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-11-04,94
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-11-11,4
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-11-18,104
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-11-25,1
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-12-02,4
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-12-09,47
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-12-16,8
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-12-23,3
BERTIOGA,SÃO LOURENÇO (RUA 2),2018-12-30,12
BERTIOGA,ENSEADA - INDAIÁ,2018-01-07,17
BERTIOGA,ENSEADA - INDAIÁ,2018-01-14,4
BERTIOGA,ENSEADA - INDAIÁ,2018-01-21,12
BERTIOGA,ENSEADA - INDAIÁ,2018-01-28,57
BERTIOGA,ENSEADA - INDAIÁ,2018-02-04,10
BERTIOGA,ENSEADA - INDAIÁ,2018-02-11,61
BERTIOGA,ENSEADA - INDAIÁ,2018-02-18,6
BERTIOGA,ENSEADA - INDAIÁ,2018-02-25,5
BERTIOGA,ENSEADA - INDAIÁ,2018-03-04,5
BERTIOGA,ENSEADA - INDAIÁ,2018-03-11,15
BERTIOGA,ENSEADA - INDAIÁ,2018-03-18,1
